song,single,album,writer,composer,issue
アイ,SOUL LOVE,"rare collectives vol.2
",HISASHI,HISASHI,1998-04-29
I am xxx,I am xxx,"THE GREAT VACATION VOL.1 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,2009-05-25
I will～,"","LOVE IS BEAUTIFUL
",TERU,TERU,2007-01-31
逢いたい気持ち,逢いたい気持ち,"WHITE ROAD
THE GREAT VACATION VOL.1 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,2002-07-31
I'm in Love,"","pure soul
DRIVE -GLAY complete BEST-
THE GREAT VACATION VOL.2 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,1998-07-29
I'm yours,HOWEVER,"rare collectives vol.1
",TAKURO,TAKURO,1997-08-06
I'm yours（Knightmare mix '99）,"","rare collectives vol.2
",TAKURO,TAKURO Remixed by HISASHI,1999-07-31
I LOVE YOU をさがしてる,紅と黒のMATADORA / I LOVE YOUをさがしてる,"THE GREAT VACATION VOL.1 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,2008-09-10
紅と黒のMATADORA,紅と黒のMATADORA / I LOVE YOUをさがしてる,"THE GREAT VACATION VOL.1 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,2008-09-10
ASHES -1969-,Ashes.EP,"THE GREAT VACATION VOL.1 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,2007-10-31
ACID HEAD,ずっと2人で・・・,"rare collectives vol.1
",TAKURO&TERU,TAKURO,1995-05-17
ACID HEAD（再録）,"","THE GREAT VACATION VOL.2 ～SUPER BEST OF GLAY～
",TAKURO&TERU,TAKURO,2009-10-21
あなたといきてゆく,"WINTERDELICS.EP ～あなたといきてゆく～
","",TAKURO,TAKURO,2017-11-22
あの夏から一番遠い場所,"","THE FRUSTRATED
",TAKURO,TAKURO,2004-03-24
あの夏から一番遠い場所 (Live version),"天使のわけまえ / ピーク果てしなく ソウル限りなく【X-RATED AREA EDITION】 中国版
","",TAKURO,TAKURO,2004-05-25
あの日の少年,"Bible
","",TAKURO,TAKURO,2012-05-23
"absolute""ZERO""","","THE GREAT VACATION VOL.2 ～SUPER BEST OF GLAY～
",TAKURO,JIRO Arranged by  GLAY&MASAHIDE SAKUMA,2009-10-21
a Boy～ずっと忘れない～,a Boy～ずっと忘れない～,"BELOVED
DRIVE -GLAY complete BEST-
WHITE ROAD
THE GREAT VACATION VOL.2 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,1996-11-11
Apologize,Apologize,"GLAY
",TAKURO,TAKURO GLAY&MASAHIDE SAKUMA,2010-04-01
AMERICAN INNOVATION,"","LOVE IS BEAUTIFUL
",TAKURO,JIRO,2007-01-31
ANSWER(GLAY feat.KYOSUKE HIMURO),ANSWER,"LOVE IS BEAUTIFUL
THE GREAT VACATION VOL.1 ～SUPER BEST OF GLAY～

",TAKURO,TAKURO,2006-08-02
"Yes, Summerdays","Yes, Summerdays","BEAT out!
THE GREAT VACATION VOL.2 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,1995-08-09
生きがい,"","HEAVY GAUGE
DRIVE -GLAY complete BEST-
",TAKURO,TAKURO,1999-10-20
生きてく強さ,生きてく強さ,"BEAT out!
DRIVE -GLAY complete BEST-
THE GREAT VACATION VOL.2 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,1995-11-08
生きてく強さ（再録）,"","rare collectives vol.4
",TAKURO,TAKURO,2011-03-09
1988,"","THE GREAT VACATION VOL.2 ～SUPER BEST OF GLAY～
",HISASHI,HISASHI,2009-10-21
いつか,いつか,"rare collectives vol.2
THE GREAT VACATION VOL.1 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,2003-03-05
いつかの夏に耳をすませば,"","THE GREAT VACATION VOL.1 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,2009-06-10
It's dying It's not dying,BE WITH YOU,"rare collectives vol.1
",TAKURO,TAKURO,1998-11-25
INNOCENCE,彼女の“Modern⋯”,"SPEED POP
rare collectives vol.1
",TAKURO,TAKURO,1994-11-16
INNOCENCE Live Version,"Yes, Summerdays","rare collectives vol.1
",TAKURO,TAKURO,1995-08-09
if～灰とダイヤモンド～,"","灰とダイヤモンド
",TAKURO,TAKURO,1994-05-25
VERB,VERB,"THE GREAT VACATION VOL.1 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,
WE ALL FEEL HIS STRENGTH OF TENDER,"","UNITY ROOTS & FAMILY, AWAY
",TAKURO,TAKURO,2002-09-19
WITH OR WITHOUT YOU,VERB,"rare collectives vol.4

",Bono/The Edge/Adam Clayton/Larry Mullen,Bono/The Edge/Adam Clayton/Larry Mullen,2008-06-11
"Winter,again","Winter,again","HEAVY GAUGE
DRIVE -GLAY complete BEST-
WHITE ROAD
THE GREAT VACATION VOL.2 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,1999-02-03
"Winter,again(inspired by Hope and The Silver Sunrise)","","Hope and The Silver Sunrise
",TAKURO,TAKURO,2011-12-14
Will Be King,"","HEAVY GAUGE
",TAKURO,TAKURO,1999-10-30
Way of Difference,Way of Difference,"UNITY ROOTS & FAMILY, AWAY
WHITE ROAD
THE GREAT VACATION VOL.1 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,2002-02-27
WET DREAM,"","ONE LOVE
",TAKURO,TAKURO,2001-11-28
WASTED TIME,"","GLAY
",TAKURO,TAKURO,2010-10-13
愁いのPrisoner,"愁いのPrisoner/YOUR SONG

","",TAKURO,TAKURO,2018-10-15
浮気なKISS ME GIRL,"","MUSIC LIFE
",TAKURO,TAKURO GLAY,2014-11-05
運命論,運命論,"JUSTICE
",TAKURO,JIROunmeiron.asx,2012-12-05
笑顔の多い日ばかりじゃない,ホワイトロード,"rare collectives vol.3
MUSIC LIFE2CD豪華盤「BALLADE BEST☆MEMORIES」
",TAKURO,TAKURO,2004-12-08
Eternally,DARK RIVER / Eternally / 時計,"MUSIC LIFE2CD豪華盤「BALLADE BEST☆MELODIES」
",TAKURO,TAKURO,2013-07-24
XYZ,"","SUMMERDELICS
",TAKURO,TAKURO,2017-07-12
everKrack,"G4・II -THE RED MOON-
","",HISASHI,HISASHI,2011-10-05
everKrack (album ver.),"","GUILTY
",HISASHI,HISASHI,2013-01-23
everKrack (GLAY HIGHCOMMUNICATIONS TOUR 2016 “Supernova”),"[DEATHTOPIA]
","",HISASHI ,HISASHI  GLAY・佐久間正英,2016-08-03
おまえと供にある,"","THE GREAT VACATION VOL.2 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO Arranged by  GLAY&MASAHIDE SAKUMA,2009-10-21
ALL I WANT,"","THE FRUSTRATED
",TAKURO,TAKURO,2004-03-24
ALL I WANT (Live version),"天使のわけまえ / ピーク果てしなく ソウル限りなく【X-RATED AREA EDITION】 東海版
","",TAKURO,TAKURO,2004-12-08
ALL STANDARD IS YOU,"","ONE LOVE
",TAKURO,TAKURO,2001-11-28
ALL STANDARD IS YOU～END ROLL～,"","UNITY ROOTS & FAMILY, AWAY
",TAKURO,TAKURO Arranged by TAKURO & dj honda,2002-09-19
Only Yesterday　,"","MUSIC LIFE
",TAKURO,onlyyes.asx GLAY,2014-11-05
カ－テンコ－ル,"","BELOVED
THE GREAT VACATION VOL.2 ～SUPER BEST OF GLAY～
MUSIC LIFE2CD豪華盤「BALLADE BEST☆MELODIES」
",TAKURO,TAKURO,1996-11-18
girlish MOON,"","UNITY ROOTS & FAMILY, AWAY
",TAKURO,TAKURO,2002-09-19
カイエ,"","Hope and The Silver Sunrise
","",HISASHI,2012-12-14
風にひとり,"","GLAY
",HISASHI,HISASHI,2010-10-13
風にひとり（ROCK AROUND THE WORLD ver.）,"","rare collectives vol.3
",HISASHI,HISASHI,2011-03-09
カナリヤ,"","BELOVED
MUSIC LIFE2CD豪華盤「BALLADE BEST☆MEMORIES」
",TAKURO,JIRO,1996-11-18
彼女の“Modern⋯”,彼女の“Modern⋯”,"灰とダイヤモンド
SPEED POP
REVIEW ～BEST OF GLAY～
DRIVE -GLAY complete BEST-
THE GREAT VACATION VOL.2 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,1994-11-16
"彼女の“Modern⋯""(再録)",Precious,"rare collectives vol.4
",TAKURO,TAKURO,2010-09-08
彼女の“Modern⋯”（MEET & GREET VACATION ver.）,"","rare collectives vol.3
",TAKURO,TAKURO,2011-03-09
彼女の“Modern…” feat.EXILE NESMITH (from LUNATIC FEST. 2018),"愁いのPrisoner/YOUR SONG

","",TAKURO,TAKURO,2018-11-14
彼女はゾンビ,"G4・Ⅳ
","",HISASHI,HISASHI,2016-01-27
COME ON!!,"","pure soul
",TAKURO,TAKURO,1998-07-29
COLORS,"G4・Ⅴ-Democracy 2019-

","",TERU,TERU,
彼らのHOLY X'mas,"","UNITY ROOTS & FAMILY, AWAY
",TAKURO,TAKURO,2002-09-19
KISSIN’ NOISE,"","灰とダイヤモンド
REVIEW ～BEST OF GLAY～
",TAKURO,TAKURO,1994-05-25
傷だらけの太陽,"","JUSTICE
",TERU,TERU,2013-01-23
軌跡の果て,"","BELOVED
REVIEW ～BEST OF GLAY～
MUSIC LIFE2CD豪華盤「BALLADE BEST☆MEMORIES」
",TAKURO,TAKURO,1996-02-07
君が見つめた海,"","ONE LOVE
",TAKURO,TAKURO,2001-11-28
君が見つめた海 (from GLAY x HOKKAIDO 150 GLORIOUS MILLION DOLLAR NIGHT Vol.3),"愁いのPrisoner/YOUR SONG

","",TAKURO,TAKURO,2018-11-14
君にあえたら,"","Hope and The Silver Sunrise
GUILTY
",TAKURO,TAKURO,2012-12-14
キリノナカ,"G4・II -THE RED MOON-
","",TAKURO,TAKURO,2011-10-05
キリノナカ (album ver.),"","GUILTY
",TAKURO,TAKURO,2013-01-23
口唇,口唇,"REVIEW ～BEST OF GLAY～
DRIVE -GLAY complete BEST-
THE GREAT VACATION VOL.2 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,1997-05-14
Good Bye Bye Sunday,とまどい/SPECIAL THANKS,"rare collectives vol.2
",JIRO,JIRO,2000-08-23
GOOD MORNING N.Y.C,GLOBAL COMMUNICATION,"rare collectives vol.2
",TAKURO,TAKURO,2001-04-25
GREAT VACATION,"","THE GREAT VACATION VOL.2 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO Arranged by  GLAY&MASAHIDE SAKUMA,2009-10-21
Christmas Ring,"","ONE LOVE
",TAKURO,TAKURO,2001-11-28
GROOVY TOUR,"","BELOVED
",TAKURO,TAKURO,1996-11-18
CRAZY DANCE,"DIAMOND SKIN／虹のポケット／CRAZY DANCE
","",TAKURO,TAKURO,2013-11-27
黒く塗れ！,"BLEEZE～G4・III～
","",HISASHI,HISASHI GLAY & Seiji Kameda,2014-07-09
黒く塗れ！ (GLAY ARENA TOUR 2014-2015 Miracle Music Hunt),"[DEATHTOPIA]
","",HISASHI,HISASHI GLAY・亀田誠治,2016-08-03
chronos,SAY YOUR DREAM,"rare collectives vol.4
","",HISASHI,2009-03-04
GLOBAL COMMUNICATION,GLOBAL COMMUNICATION,"ONE LOVE
THE GREAT VACATION VOL.1 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,2001-04-25
グロリアス,グロリアス,"BEAT out!
REVIEW ～BEST OF GLAY～
DRIVE -GLAY complete BEST-
THE GREAT VACATION VOL.2 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,1996-01-17
汚れなきSEASON,"","GLAY
",TAKURO,TAKURO,2010-10-13
gestalt,"","JUSTICE
","",HISASHI,2013-01-23
原色の空＜Cloudy Sky＞,"","BEAT out!
",TAKURO,TAKURO,1996-02-07
恋,G4,"LOVE IS BEAUTIFUL
rare collectives vol.3
",TAKURO,TAKURO,2006-07-12
航海,"","UNITY ROOTS & FAMILY, AWAY
",TAKURO,TAKURO,2002-09-19
ここではない、どこかへ,ここではない、どこかへ,"HEAVY GAUGE
THE GREAT VACATION VOL.2 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,1999-08-25
ここではない、どこかへ(GLAY EXPO`99 SURVIVAL LIVE VERSION),HAPPINESS -WINTER MIX-,"rare collectives vol.1
",TAKURO,TAKURO,2000-01-01
GONE WITH THE WIND,ずっと2人で・・・,"rare collectives vol.1
THE GREAT VACATION VOL.2 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,1995-05-17
鼓動,鼓動,"THE GREAT VACATION VOL.1 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,2007-04-04
"coyote,colored darkness","","THE FRUSTRATED
",HISASHI,HISASHI,2004-03-24
"coyote,colored darkness (Live version)","天使のわけまえ / ピーク果てしなく ソウル限りなく【X-RATED AREA EDITION】 北海道版
","",HISASHI,HISASHI,2004-05-25
"coyote,colored darkness (ROCK'N' ROLL SWINDLE at NIPPONBUDOUKAN)","[DEATHTOPIA]
","",HISASHI ,HISASHI  GLAY・佐久間正英,2016-08-03
ごらん、世界は苦しみに満ちているよ(再録)　,"","THE GREAT VACATION VOL.2 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,2009-10-21
Surf Rider,Missing You,"rare collectives vol.2
",HISASHI,HISASHI,2000-11-15
さくらびと,"","MUSIC LIFE2CD豪華盤
",TAKURO,TAKURO GLAY,2014-11-05
Satellite of love,"","GLAY
MUSIC LIFE2CD豪華盤「BALLADE BEST☆MELODIES」
",TAKURO,TAKURO,2010-10-13
Satellite of love（Acoustic ver）,"","rare collectives vol.4
",TAKURO,TAKURO,2010-06-17
Satellite of love（再録）,"
","
",TAKURO,TAKURO,2017-11-22
サバイバル,サバイバル,"HEAVY GAUGE
DRIVE -GLAY complete BEST-
THE GREAT VACATION VOL.2 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,1999-05-19
サバイバル (Live Version),サバイバル,"rare collectives vol.1
",TAKURO,TAKURO,1999-05-19
SUFFRAGETTE CITY,紅と黒のMATADORA / I LOVE YOUをさがしてる,"rare collectives vol.4

",David Bowie,David Bowie,2008-09-10
Savile Row ～サヴィル ロウ ３番地～,"","HEAVY GAUGE
",TAKURO,TAKURO,1999-10-15
THE FRUSTRATED,"","THE FRUSTRATED
",TAKURO,kombinat-12,2004-03-24
THE FRUSTRATED (Live version),"天使のわけまえ / ピーク果てしなく ソウル限りなく【X-RATED AREA EDITION】 東北版
","",TAKURO,kombinat-12,2004-05-25
summer FM,ここではない、どこかへ,"HEAVY GAUGE
rare collectives vol.2
",TAKURO,kombinat-12,2004-05-25
SUMMERDELICS,"","SUMMERDELICS
",TAKURO,JIRO,2017-07-12
「SUMMERDELICS」reprise,"
","
","","",2017-11-22
THE MEANING OF LIFE,SAY YOUR DREAM,"rare collectives vol.4

",Bryan Keith Holland,Published by UNDERACGIEVER MUSIC,2009-03-04
サラギの灯,"","LOVE IS BEAUTIFUL
",TAKURO,TAKURO,2007-01-31
Thank you for your love,"Thank you for your love
Bible
","",TERU,TERU,2011-05-05
残酷な天使のテーゼ(We ♥ Happy Swing Live ver.),"My Private ""Jealousy""

","",及川眠子,佐藤英敏,
3年後,"","pure soul
",TAKURO,TAKURO,1998-07-29
the other end of the globe,"","SUMMERDELICS
",TERU&TAKURO,TERU,2017-07-12
幸せになる、その時に。,"","rare collectives vol.1
",TAKURO,TAKURO,2003-02-05
シキナ,"","GLAY
",TAKURO,TAKURO GLAY　＆SAKUMA MASAHIDE & DJ MASS,2010-10-13
シキナ（ROCK AROUND THE WORLD ver）,"","rare collectives vol.3
",TAKURO,TAKURO,2011-03-09
嫉妬(KURID/PHANTOM mix),"","ONE LOVE
",TAKURO,TAKURO,2001-11-28
Cynical,生きてく強さ,"rare collectives vol.2
",HISASHI,HISASHI,1995-11-08
JUSTICE [from] GUILTY,"JUSTICE [from] GUILTY
","",TAKURO,HISASHI,2012-12-05
JUSTICE [from] GUILTY (GLAY Special Live 2013 in HAKODATE GLORIOUS MILLION DOLLAR NIGHT Vol.1),"[DEATHTOPIA]
","",TAKURO,HISASHI,2016-08-03
GIANT STRONG FAUST SUPER STAR,またここであいましょう,"rare collectives vol.2
",HISASHI,HISASHI,2002-07-24
JUST FINE,"G4・Ⅴ-Democracy 2019-
G4・Ⅶ -Eleven- (G4・Ⅴ-Democracy 2019-セブン−イレブン限定盤)

","",TAKURO,TAKURO,
SHUTTER SPEEDS のテ－マ,"","BELOVED
DRIVE -GLAY complete BEST-
",TAKURO,JIRO,1996-11-18
SHUTTER SPEEDS のテ－マ（再録）,"","THE GREAT VACATION VOL.2 ～SUPER BEST OF GLAY～
",TAKURO,JIRO,2009-10-21
JUNK ART,"","SPEED POP
",TAKURO,TAKURO,1995-03-01
週末のBaby Talk,"","BEAT out!
",TERU,TERU,1996-02-07
JULIA,"","rare collectives vol.3
",TAKURO,TAKURO,2011-03-09
Joker（LIVE from VISUAL JAPAN SUMMIT 2016）,"WINTERDELICS.EP ～あなたといきてゆく～
","","","",2017-11-22
THINK ABOUT MY DAUGHTER,"","ONE LOVE
",TAKURO,TAKURO,2001-11-28
Synchronicity,"","THE GREAT VACATION VOL.1 ～SUPER BEST OF GLAY～
",HISASHI,HISASHI,2009-06-10
真実（Demo）,"","GLAY Anthology

",TAKURO,TAKURO,2011-07-30
シン・ゾンビ,"","SUMMERDELICS
",HISASHI,HISASHI,2017-07-12
SWEET MAGIC,"","Hope and The Silver Sunrise
",TAKURO,TAKURO,2012-12-14
SCREAM,GLAY x EXILE 『SCREAM』,"LOVE IS BEAUTIFUL
THE GREAT VACATION VOL.1 ～SUPER BEST OF GLAY～

",SHUN & TAKURO,TAKURO,2005-07-20
Scoop,G4・Ⅳ,"SUMMERDELICS
",TAKURO,JIRO,2016-01-27
STARLESS NIGHT,VERB,"rare collectives vol.4
",TAKURO,TAKURO,
STAY TUNED,STAY TUNED,"ONE LOVE
THE GREAT VACATION VOL.1 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,2001-07-04
ずっと2人で…,ずっと2人で・・・,"SPEED POP
REVIEW ～BEST OF GLAY～
DRIVE -GLAY complete BEST-
WHITE ROAD
THE GREAT VACATION VOL.2 ～SUPER BEST OF GLAY～
MUSIC LIFE2CD豪華盤「BALLADE BEST☆MELODIES」
",TAKURO,TAKURO,1995-05-17
Snow Flake,"My Private ""Jealousy""
","",TAKURO,TAKURO,2011-11-16
Super Ball 425,STAY TUNED,"rare collectives vol.2
",TERU,TAKURO,2001-07-04
Supernova Express 2016,"G4・Ⅳ
","",TAKURO,TAKURO,2016-01-27
Supernova Express 2017,"","SUMMERDELICS
",TAKURO,TAKURO,2017-07-12
SPECIAL THANKS,とまどい/SPECIAL THANKS,"DRIVE -GLAY complete BEST-
WHITE ROAD
THE GREAT VACATION VOL.2 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,2000-08-23
STREET LIFE,BEAUTIFUL DREAMER / STREET LIFE,"THE FRUSTRATED
THE GREAT VACATION VOL.1 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,2003-10-16
STREET LIFE (Live version),"天使のわけまえ / ピーク果てしなく ソウル限りなく【X-RATED AREA EDITION】 北陸版
","",TAKURO,TAKURO,2004-05-25
ストロベリーシェイク,BE WITH YOU,"rare collectives vol.1
",JIRO,JIRO,1998-11-25
SPEED POP(Introduction),"","SPEED POP

",―,Masahide Sakuma,1995-03-01
すべて、愛だった-La vie d'une petite fille,Blue Jean,"rare collectives vol.3
",TAKURO,TAKURO,2004-08-04
すべて、愛だった -La vie d'une petite fille(Acoustic Version),Blue Jean,"rare collectives vol.3
",TAKURO,TAKURO,2004-08-04
SMILE,"","JUSTICE
",TAKURO,TAKURO,2013-01-23
聖者のいない町,"","SUMMERDELICS
",TAKURO,TAKURO,2017-07-12
SAY YOUR DREAM,SAY YOUR DREAM,"THE GREAT VACATION VOL.1 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,2009-03-04
17bars,"","rare collectives vol.2
","",HISASHI,
千ノナイフガ胸ヲ刺ス,"","灰とダイヤモンド
REVIEW ～BEST OF GLAY～
",TAKURO,TAKURO,1994-05-25
SOUL LOVE,SOUL LOVE,"pure soul
DRIVE -GLAY complete BEST-
WHITE ROAD
THE GREAT VACATION VOL.2 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,1998-04-29
そして、これからも,時の雫,"rare collectives vol.3
",TAKURO,TAKURO,2004-01-28
卒業まで、あと少し,Way of Difference,"UNITY ROOTS & FAMILY, AWAY
rare collectives vol.2
",TAKURO,TAKURO,2002-02-27
SORRY LOVE,Ashes.EP,"THE GREAT VACATION VOL.1 ～SUPER BEST OF GLAY～
rare collectives vol.4
MUSIC LIFE2CD豪華盤「BALLADE BEST☆MELODIES」
",TAKURO,TAKURO,2007-10-31
SORRY LOVE(Live version),"
","
",TAKURO,TAKURO,
空が青空であるために,G4・Ⅳ,"SUMMERDELICS
",TERU,TERU,2016-01-27
TIME,Missing You,"rare collectives vol.2
",JIRO,JIRO,2000-11-15
Time for Christmas,"","Hope and The Silver Sunrise
",TAKURO,TAKURO,2011-12-14
Time for Christmas (Club mix),"JUSTICE [from] GUILTY
","",TAKURO,TAKURO,
DIAMOND　SKIN,"DIAMOND SKIN／虹のポケット／CRAZY DANCE
","",TAKURO,TAKURO,2013-11-27
DARK RIVER,DARK RIVER / Eternally / 時計,"MUSIC LIFE
",TAKURO,TAKURO,2013-07-24
誰かの為に生きる,G4,"rare collectives vol.3
",TAKURO,TAKURO,2006-07-12
Children In the War(Live from HIGHCOMMUNICATIONS 2003),BEAUTIFUL DREAMER / STREET LIFE,"rare collectives vol.3
",TAKURO,TAKURO,2003-10-16
Chelsea,"","GLAY
",TAKURO&JIRO,TAKURO&JIRO,2010-10-13
超音速デスティニー,[DEATHTOPIA],"SUMMERDELICS
",HISASHI ,HISASHI  GLAY・亀田誠治,2016-08-03
月に祈る,"","BEAT out!
",TAKURO,TAKURO,1996-02-07
月の夜に,"","GLAY
",TERU,TERU,2010-10-13
Together,"","BEAT out!
MUSIC LIFE2CD豪華盤「BALLADE BEST☆MELODIES」
",TAKURO,TAKURO,1996-02-07
Together (new version with orchestra),BELOVED,"rare collectives vol.1
",TAKURO,TAKURO,1996-08-07
TWO BELL SILENCE,"","灰とダイヤモンド
",TAKURO,TAKURO,1994-05-25
TWO BELL SILENCE（再録）,"","THE GREAT VACATION VOL.2 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,2009-10-21
