song,single,album,writer,composer,issue
つづれ織り～so far and yet so close～,"","WHITE ROAD
MUSIC LIFE2CD豪華盤「BALLADE BEST☆MELODIES」
",TAKURO,TAKURO,2005-01-19
つづれ織り～so far and yet so close～(Live from Miracle Music Hunt 2014-2015）,"","WHITE ROAD
",TAKURO,TAKURO,
つづれ織り～so far and yet so close～〈Live from Miracle Music Hunt 2014-2015〉,"HEROES/微熱Ⓐgirlサマー/つづれ織り～so far and yet so close～
","",TAKURO,TAKURO,2015-05-25
出逢ってしまった2人,"","pure soul
",TAKURO,TAKURO,1998-07-29
デストピア,[DEATHTOPIA],"SUMMERDELICS
",HISASHI,HISASHI GLAY・亀田誠治,2016-08-03
17ans,"","rare collectives vol.2
",HISASHI,HISASHI,2003-02-05
電気イルカ奇妙ナ嗜好,"","ONE LOVE
",HISASHI,HISASHI,2001-11-28
TILL KINGDOM COME,"","MUSIC LIFE
",TAKURO,TAKURO GLAY,2014-11-05
天使のわけまえ,天使のわけまえ / ピーク果てしなく ソウル限りなく【通常盤】,"THE GREAT VACATION VOL.1 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,2004-05-19
Tokyo vice terror,"","THE GREAT VACATION VOL.2 ～SUPER BEST OF GLAY～
","",HISASHI Arranged by  GLAY,2009-10-21
時の雫,時の雫,"THE FRUSTRATED
THE GREAT VACATION VOL.1 ～SUPER BEST OF GLAY～
MUSIC LIFE2CD豪華盤「BALLADE BEST☆MEMORIES」
",TAKURO,TAKURO,2004-01-28
時の雫 (LIVE version),"天使のわけまえ / ピーク果てしなく ソウル限りなく【通常盤】
","",TAKURO,TAKURO,2004-05-25
毒ロック,BE WITH YOU,"rare collectives vol.1
",HISASHI,TAKURO,1998-11-25
棘,鼓動,"rare collectives vol.4
",TAKURO,TAKURO,2007-04-04
時計,DARK RIVER / Eternally / 時計,"MUSIC LIFE2CD豪華盤「BALLADE BEST☆MEMORIES」
",TAKURO,TAKURO,2013-07-24
時計（再録）,"WINTERDELICS.EP ～あなたといきてゆく～
","",TAKURO,TAKURO,2017-11-22
道産子シーサー,"","rare collectives vol.2

",ゴリボンジュール,鼻キューピッド Arranged by Doc.loc.works,2003-02-05
とまどい,とまどい/SPECIAL THANKS,"DRIVE -GLAY complete BEST-
THE GREAT VACATION VOL.2 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,2000-08-23
Trouble On Monday,"","BEAT out!
",TAKURO,TAKURO,1996-02-07
Don't　Look Back In Anger,"","rare collectives vol.4

",Noel Gallegher,Noel Gallegher,2011-03-09
夏音,夏音 / 変な夢～THOUSAND DREAMS～,"LOVE IS BEAUTIFUL
THE GREAT VACATION VOL.1 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,2006-09-13
夏の彼方へ(Johny the unity mix),"","UNITY ROOTS & FAMILY, AWAY
",TAKURO,TAKURO,2002-09-19
neuromancer,a Boy～ずっと忘れない～,"rare collectives vol.2
",HISASHI,HISASHI,1996-11-11
虹のポケット,"DIAMOND SKIN／虹のポケット／CRAZY DANCE
","",TAKURO,TAKURO,2013-11-27
neverland,"","UNITY ROOTS & FAMILY, AWAY
",TAKURO,JIRO,2002-09-19
NO ESCAPE,"","THE GREAT VACATION VOL.2 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,2009-10-21
野ばら,"","rare collectives vol.4

",奥田民生,奥田民生,2007-10-24
Burning Chrome,"","THE GREAT VACATION VOL.1 ～SUPER BEST OF GLAY～
","",HISASHI,2009-06-10
THE BIRTHDAY GIRL,"","THE GREAT VACATION VOL.1 ～SUPER BEST OF GLAY～
",TAKURO,JIRO,2009-06-10
HIGHWAY No.5,"","ONE LOVE
",JIRO,JIRO,2001-11-28
HIGHCOMMUNICATIONS,"","THE FRUSTRATED
",TAKURO,combinat-12,2004-03-24
HIGHCOMMUNICATIONS (Live ver),"天使のわけまえ / ピーク果てしなく ソウル限りなく【X-RATED AREA EDITION】 東海版
","",TAKURO,combinat-12,2004-05-25
HIGHCOMMUNICATIONS (Remix 2011 ver),"","rare collectives vol.4
",TAKURO,"Kombinat-12 GLAY,DJ MASS/VIVID NEON'S & Masahide Sakuma",2011-03-09
Bible,Bible,"GUILTY
",TAKURO,TAKURO,2012-05-23
BURST,"","灰とダイヤモンド
",TAKURO,TAKURO,1994-05-25
BURST（再録）,"","THE GREAT VACATION VOL.2 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,2009-10-21
HEART SNOW～心に降る雪～,Precious,"rare collectives vol.4
",TAKURO,TAKURO GLAY ＆MASAHIDE　SAKUMA,2010-09-08
HOWEVER,HOWEVER,"REVIEW ～BEST OF GLAY～
DRIVE -GLAY complete BEST-
WHITE ROAD
THE GREAT VACATION VOL.2 ～SUPER BEST OF GLAY～
MUSIC LIFE2CD豪華盤「BALLADE BEST☆MELODIES」
",TAKURO,TAKURO,1997-08-06
HOWEVER (insirated by HIGHCOMMUNICATION),時の雫,"rare collectives vol.3
",TAKURO,TAKURO,2004-01-28
BUGS IN MY HEAD,"","THE FRUSTRATED
",TAKURO&JIRO,JIRO,2004-03-24
BUGS IN MY HEAD (Live ver),"天使のわけまえ / ピーク果てしなく ソウル限りなく【X-RATED AREA EDITION】 関西版
","",TAKURO&JIRO,JIRO,2004-05-25
初恋を唄え,"","GUILTY
","","",2013-01-23
はじまりのうた,"G4・Ⅴ-Democracy 2019-

","",TERU,TERU,
疾走れ！ミライ,「百花繚乱／疾走れ!ミライ」,"MUSIC LIFE
",TERU,TERU GLAY,2014-11-05
BACK-UP,STAY TUNED,"rare collectives vol.2
",TERU,TERU,2001-07-04
HAPPY SWING,"","SPEED POP
DRIVE -GLAY complete BEST-
",TAKURO,TAKURO,1995-03-15
HAPPINESS,"","HEAVY GAUGE
DRIVE -GLAY complete BEST-
",TAKURO,TAKURO,1999-10-20
HAPPINESS -WINTER MIX-,HAPPINESS -WINTER MIX-,"THE GREAT VACATION VOL.2 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,2000-01-01
華よ嵐よ,"","GUILTY
","","",2013-01-23
PARADISE LOST,"","JUSTICE
",TAKURO,TAKURO,2013-01-23
遥か…,"","GLAY
",TAKURO,TAKURO,2010-10-13
春までは,SAY YOUR DREAM,"THE GREAT VACATION VOL.1 ～SUPER BEST OF GLAY～
rare collectives vol.4
",TAKURO,TAKURO,2009-03-04
春を愛する人-,口唇,"BELOVED
DRIVE -GLAY complete BEST-
rare collectives vol.1
THE GREAT VACATION VOL.2 ～SUPER BEST OF GLAY～
MUSIC LIFE2CD豪華盤「BALLADE BEST☆MELODIES」
",TAKURO,TAKURO,1996-11-18
HELLO MY LIFE,"Winter,again","rare collectives vol.2
MUSIC LIFE2CD豪華盤「BALLADE BEST☆MEMORIES」
",TAKURO/TERU,TAKURO,1999-02-03
ピーク果てしなく ソウル限りなく,天使のわけまえ / ピーク果てしなく ソウル限りなく【通常盤】,"THE GREAT VACATION VOL.1 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,2004-05-19
BE WITH YOU,BE WITH YOU,"HEAVY GAUGE
DRIVE -GLAY complete BEST-
WHITE ROAD
THE GREAT VACATION VOL.2 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,1998-11-25
BELOVED,BELOVED,"BELOVED
REVIEW ～BEST OF GLAY～
DRIVE -GLAY complete BEST-
THE GREAT VACATION VOL.2 ～SUPER BEST OF GLAY～
MUSIC LIFE2CD豪華盤「BALLADE BEST☆MELODIES」
",TAKURO,TAKURO,1996-08-07
BELOVED（ROCK AROUND THE WORLD ver.）,"","rare collectives vol.3
",TAKURO,TAKURO,2011-03-09
ひどくありふれたホワイトノイズをくれ,"","灰とダイヤモンド
",TAKURO,TAKURO,1994-05-25
HIT THE WORLD CHART!,"","BELOVED
",TAKURO,TAKURO,1996-11-18
ひとひらの自由,ひとひらの自由,"THE GREAT VACATION VOL.1 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,2001-09-19
ひとひらの自由(JOHNNY's peace mix),"","ONE LOVE
",TAKURO,TAKURO,2001-11-28
ひとひらの自由　GLAY EXPO 2001“GLOBAL COMMUNICATION”IN KYUSHU LIVE　VERSION～,"","rare collectives vol.2
",TAKURO,TAKURO,2001-11-28
微熱Ⓐgirlサマー,HEROES/微熱Ⓐgirlサマー/つづれ織り～so far and yet so close～,"SUMMERDELICS
",HISASHI,HISASHI,2015-05-25
VIVA VIVA VIVA,"","ONE LOVE
",TAKURO,TAKURO,2001-11-28
微熱Ⓐgirlサマー （GLAY Special Live at HAKODATE ARENA GLORIOUS MILLION DOLLAR NIGHT Vol.2）,"[DEATHTOPIA]
","",HISASHI ,HISASHI  GLAY・亀田誠治,2016-08-03
100万回のKISS,100万回のKISS,"LOVE IS BEAUTIFUL
THE GREAT VACATION VOL.1 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,2007-01-17
pure soul,"","pure soul
DRIVE -GLAY complete BEST-
THE GREAT VACATION VOL.2 ～SUPER BEST OF GLAY～
MUSIC LIFE2CD豪華盤「BALLADE BEST☆MELODIES」
",TAKURO,TAKURO,1998-07-29
BEAUTIFUL DREAMER,BEAUTIFUL DREAMER / STREET LIFE,"THE FRUSTRATED
THE GREAT VACATION VOL.1 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,2003-10-16
BEAUTIFUL DREAMER (Live ver),"天使のわけまえ / ピーク果てしなく ソウル限りなく【通常盤】
天使のわけまえ / ピーク果てしなく ソウル限りなく【X-RATED AREA EDITION】 北海道版
","",TAKURO,TAKURO,2004-05-25
Believe in fate,グロリアス,"rare collectives vol.1
",TAKURO,TAKURO,1996-01-17
Billionaire Champagne Miles Away,"","THE FRUSTRATED
",TAKURO,TAKURO,2004-03-24
Billionaire Champagne Miles Away (Live ver),"天使のわけまえ / ピーク果てしなく ソウル限りなく【X-RATED AREA EDITION】 関西版
","",TAKURO,TAKURO,2004-05-25
ビリビリクラッシュメン,"","pure soul
DRIVE -GLAY complete BEST-
",TAKURO,JIRO,1998-07-29
WHO KILLED MY DIVA,"","JUSTICE
","","",2013-01-23
百花繚乱,「百花繚乱／疾走れ!ミライ」,"MUSIC LIFE
",TAKURO,TAKUTO GLAY,2014-11-05
HEROES,HEROES/微熱Ⓐgirlサマー/つづれ織り～so far and yet so close～,"SUMMERDELICS
",TERU,TERU,2015-05-25
Father & Son,"","UNITY ROOTS & FAMILY, AWAY
",TAKURO,TAKURO,2002-09-19
Fighting Spirit,"","ONE LOVE
",TAKURO,TAKURO,2001-11-28
FACTORY,"","GUILTY
","","",2013-01-23
FATSOUNDS,"","HEAVY GAUGE
",TAKURO,TAKURO,1999-10-20
Fairy story,"","BELOVED
",TAKURO,TAKURO,1996-11-18
FATE (from LUNATIC FEST. 2018),"愁いのPrisoner/YOUR SONG

","",RYUICHI,SUGIZO,2018-11-14
FAME IS DEAD,"","THE GREAT VACATION VOL.2 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO Arranged by  GLAY&MASAHIDE SAKUMA,2009-10-21
4 ROSES,"運命論
","",TAKURO,TAKURO,
冬の遊歩道,"","GUILTY
","","",2013-01-23
冬のエトランジェ (THE GREAT VACATION-extra- Live ver.),I am xxx,"rare collectives vol.4

",TAKURO,TAKURO,2009-05-25
FRIEDCHICKEN & BEER,"","pure soul
",TAKURO,TAKURO,1998-07-29
Prize,"","ONE LOVE
",HISASHI,HISASHI,2001-11-28
BLACK EYES SHE HAD,"","THE GREAT VACATION VOL.2 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO Arranged by  GLAY&MASAHIDE SAKUMA,2009-10-21
BLAST,"","THE FRUSTRATED
",TERU,TERU,2004-03-24
BLAST(Live ver),"天使のわけまえ / ピーク果てしなく ソウル限りなく【X-RATED AREA EDITION】 関東版
","",TERU,TERU,2004-05-25
BROTHEL CREEPERS,逢いたい気持ち,"rare collectives vol.2
",TAKURO,TAKURO,2002-07-31
BLEEZE,BLEEZE～G4・III～,"MUSIC LIFE
",TERU,TERU,
Freeze My Love,Freeze My Love,"SPEED POP
REVIEW ～BEST OF GLAY～
THE GREAT VACATION VOL.2 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,1995-01-25
Blue Jean,Blue Jean,"WHITE ROAD
THE GREAT VACATION VOL.1 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,2004-08-04
Blue Jean (Jet the Phantom Mix),"","THE GREAT VACATION VOL.1 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,2009-06-10
Precious,Precious,"GLAY
MUSIC LIFE2CD豪華盤「BALLADE BEST☆MEMORIES」
",TAKURO,TAKURO GLAY & MASAHIDE SAKUMA,2010-09-08
Precious（ROCK AROUND THE WORLD ver.）,"","rare collectives vol.3
",TAKURO,TAKURO,2011-03-09
Friend of mine,"","UNITY ROOTS & FAMILY, AWAY
",TAKURO,TAKURO,2002-09-19
HEAVY GAUGE,"","HEAVY GAUGE
",TAKURO,TAKURO,1999-10-20
変な夢 ～THOUSAND DREAMS～,夏音 / 変な夢～THOUSAND DREAMS～,"LOVE IS BEAUTIFUL
THE GREAT VACATION VOL.1 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,2006-09-13
僕達の勝敗,鼓動,"LOVE IS BEAUTIFUL
THE GREAT VACATION VOL.1 ～SUPER BEST OF GLAY～
rare collectives vol.4
",TAKURO,TAKURO,2007-01-31
ホワイトロード,ホワイトロード,"WHITE ROAD
THE GREAT VACATION VOL.1 ～SUPER BEST OF GLAY～
MUSIC LIFE2CD豪華盤「BALLADE BEST☆MEMORIES」
",TAKURO,TAKURO,2004-12-08
Hospital pm9,"","MUSIC LIFE
",TAKURO,TAKURO GLAY,2014-11-05
WHY DON'T WE MAKE YOU HAPPY,Missing You,"rare collectives vol.2
",TAKURO,TAKURO,2000-11-15
MERMAID,MERMAID,"ONE LOVE
THE GREAT VACATION VOL.1 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,2000-07-19
"My Private ""Jealousy""","My Private ""Jealousy""
","",TAKURO,TAKURO,2011-11-16
-VENUS,VERB,"rare collectives vol.4
",TAKURO,TAKURO,2008-06-11
MILESTONE～胸いっぱいの憂鬱～,"JUSTICE [from] GUILTY
","",TAKURO,TAKURO,
MOTHER NATURE'S SON,Ashes.EP,"rare collectives vol.4

",Lennon/McCartney,Lennon/McCartney,2007-10-31
またここであいましょう,またここであいましょう,"UNITY ROOTS & FAMILY, AWAY
THE GREAT VACATION VOL.1 ～SUPER BEST OF GLAY～
",Lennon/McCartney,Lennon/McCartney,2002-07-24
MAD BREAKER,"G4・II -THE RED MOON-
","",TERU,TERU,2011-10-05
祭りのあと,"","MUSIC LIFE
",TAKURO,TAKURO GLAY,2014-11-05
真夏の扉,真夏の扉,"SPEED POP
THE GREAT VACATION VOL.2 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,1994-06-15
真夏の扉(GLAYバージョン）,"","灰とダイヤモンド
",TAKURO,TAKURO,1994-05-25
真昼の月の静けさに,"","JUSTICE映画「草原の椅子」主題歌
",TAKURO,TAKURO,2013-01-23
Miki Piano,"","BEAT out!
",TAKURO,TAKURO,1996-02-07
MISERY,"","rare collectives vol.1
hideトリビュートアルバム『hide TRIBUTE SPIRITS』

",hide,hide,1999-05-01
MISERY(GLAY EXPO`99 SURVIVAL LIVE VERSION),HAPPINESS -WINTER MIX-,"rare collectives vol.1

",hide,hide,2000-01-01
Missing You,Missing You,"DRIVE -GLAY complete BEST-
THE GREAT VACATION VOL.1 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,2000-11-15
mister popcorn,"","ONE LOVE
",JIRO,JIRO,2001-11-28
見つめていたい,"","rare collectives vol.1

",TAKURO&Mina Nagashima,TAKURO,
南東風,"","THE FRUSTRATED
",TAKURO,TAKURO,2004-03-24
南東風～PEACEFUL SESSION～,Blue Jean,"rare collectives vol.3
",TAKURO,TAKURO,2004-08-04
都忘れ,"","BELOVED
MUSIC LIFE2CD豪華盤「BALLADE BEST☆MELODIES」
",TAKURO,TAKURO,1996-11-18
MIRROR,"","LOVE IS BEAUTIFUL
THE GREAT VACATION VOL.1 ～SUPER BEST OF GLAY～
MUSIC LIFE2CD豪華盤「BALLADE BEST☆MEMORIES」
",TAKURO,TAKURO,2007-01-31
無限のdeja vu(THE GREAT VACATION-extra ver.),"","rare collectives vol.3
",TAKURO,TAKURO,2011-03-09
MUSIC LIFE,"","MUSIC LIFE
",TAKURO,JIRO GLAY,2014-11-05
無限のdeja vuから,"","THE FRUSTRATED
",TAKURO,TAKURO,2004-03-24
無限のdeja vuから (Live ver),"天使のわけまえ / ピーク果てしなく ソウル限りなく【X-RATED AREA EDITION】 中国版
","",TAKURO,TAKURO,2004-05-25
無限のdeja vuから ～Peacefull Session～,"","rare collectives vol.3
",TAKURO,TAKURO,2004-04-23
夢遊病,"","ONE LOVE
",TAKURO,TAKURO,2001-11-28
May Fair,"","pure soul
MUSIC LIFE2CD豪華盤「BALLADE BEST☆MEMORIES」
",TAKURO,TAKURO,1998-07-29
妄想コレクター,"","MUSIC LIFE
",HISASHI,HISASHI GLAY,2014-11-05
More than Love,"","BEAT out!
REVIEW ～BEST OF GLAY～
",TAKURO,TAKURO,1996-02-07
Young oh! oh!,"Winter,again","rare collectives vol.2
",TAKURO,TAKURO,1999-02-03
YOU,"BLEEZE～G4・III～
","","",JIROJIRO,2014-07-09
YOUR SONG,"愁いのPrisoner/YOUR SONG

","",TERU,TERU,2018-11-14
YOUR SONG feat.MISIA,"G4・Ⅴ-Democracy 2019-

","",TERU,TERU,
YOUR SONG (from GLAY x HOKKAIDO 150 GLORIOUS MILLION DOLLAR NIGHT Vol.3),"愁いのPrisoner/YOUR SONG

","",TERU,TERU,2018-11-14
YOU MAY DREAM,"","pure soul
",TAKURO,TAKURO,1998-07-29
誘惑,誘惑,"pure soul
DRIVE -GLAY complete BEST-
THE GREAT VACATION VOL.2 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,1998-04-29
誘惑(再録),"","THE GREAT VACATION VOL.1 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,2009-06-10
誘惑 feat.SUGIZO (from LUNATIC FEST. 2018),"愁いのPrisoner/YOUR SONG

","",TAKURO,TAKURO,2018-11-14
ゆるぎない者達,"","UNITY ROOTS & FAMILY, AWAY
MUSIC LIFE2CD豪華盤「BALLADE BEST☆MEMORIES」
",TAKURO,TAKURO,2002-09-19
lifetime,"","SUMMERDELICS
",JIRO,JIRO,2017-07-12
Life ～遠い空の下で～,真夏の扉,"SPEED POP
rare collectives vol.1
",TAKURO,TAKURO,1994-06-15
LOVE IMPOSSIBLE,"","JUSTICE
",TAKURO,TAKURO,2013-01-23
"Lovers change fighters,cool","","BELOVED
",TAKURO,TAKURO,1995-03-01
Runaway Runaway,"","THE FRUSTRATED
",TAKURO,TAKURO,2004-03-24
Runaway Runaway(Live ver),"天使のわけまえ / ピーク果てしなく ソウル限りなく【X-RATED AREA EDITION】  東北版
","",TAKURO,TAKURO,2004-05-25
LOVE SLAVE,"","SPEED POP
",TAKURO,TAKURO,1995-03-01
RHAPSODY,"","BELOVED
REVIEW ～BEST OF GLAY～
",TAKURO,TAKURO,1996-11-18
Run,"","THE GREAT VACATION VOL.1 ～SUPER BEST OF GLAY～
",TERU,TERU,2009-06-10
REAL SHADOW,"","THE GREAT VACATION VOL.2 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO Arranged by  GLAY&MASAHIDE SAKUMA,2009-10-21
REGRET,Freeze My Love,"SPEED POP
rare collectives vol.1
",TAKURO,TAKURO,1995-03-01
リズム,"","THE GREAT VACATION VOL.1 ～SUPER BEST OF GLAY～
",TAKURO,JIRO,2009-06-10
Little Lovebirds,誘惑,"rare collectives vol.1
",TERU,TERU,1998-04-29
RUCA,"","THE GREAT VACATION VOL.2 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO Arranged by  GLAY&MASAHIDE SAKUMA,2009-10-21
Route 5 Bayshore Line,運命論,"JUSTICE
",TAKURO,TAKURO,
Ruby's Blanket,G4・II -THE RED MOON-,"GUILTY
",TAKURO,JIRO,2011-10-05
LAYLA,G4,"THE GREAT VACATION VOL.1 ～SUPER BEST OF GLAY～
rare collectives vol.3
",TAKURO,TAKURO,2006-07-12
RAIN,RAIN,"SPEED POP
THE GREAT VACATION VOL.2 ～SUPER BEST OF GLAY～
",YOSHIKI,YOSHIKI & TAKURO,1994-05-25
RAIN(GLAYバージョン),"","灰とダイヤモンド
",TAKURO,TAKURO,1994-05-25
RainbirD,"","THE GREAT VACATION VOL.2 ～SUPER BEST OF GLAY～
",TERU,TERU Arranged by  GLAY&MASAHIDE SAKUMA,2009-10-21
LADY CLOSE,"","灰とダイヤモンド
",TAKURO,TAKURO,1994-05-25
Let it rock,"","GLAY Anthology

",TAKURO,TAKURO,2011-07-30
LET ME BE,"","THE GREAT VACATION VOL.2 ～SUPER BEST OF GLAY～
MUSIC LIFE2CD豪華盤「BALLADE BEST☆MELODIES」
",TAKURO,TAKURO Arranged by  GLAY&MASAHIDE SAKUMA,2009-10-21
LET ME BE(RATW ver),"","rare collectives vol.4
",TAKURO,TAKURO,2010-06-17
LET ME BE(THE GREAT VACATION at makuhari messe),「LET ME BE Live Ver. 2009-2010 at makuhari messe」,"rare collectives vol.3
",TAKURO,TAKURO,2010-02-24
Red moon & Silver sun～My Private “Jealousy”,"","GUILTY
",TAKURO,TAKURO,2013-01-23
LEVEL DEVIL,"","HEAVY GAUGE
",TAKURO,TAKURO,1999-10-20
ROCK ICON,MERMAID,"rare collectives vol.2
",TAKURO,TAKURO,2000-07-19
Lock on you,夏音 / 変な夢～THOUSAND DREAMS～,"rare collectives vol.3
",TERU,TERU,2006-09-13
ROCK'N'ROLL SWINDLE,G4,"LOVE IS BEAUTIFUL
THE GREAT VACATION VOL.1 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,2006-07-12
ロングラン,"","SUMMERDELICS
",TAKURO,TAKURO,2017-07-12
ROSY,Ashes.EP,"rare collectives vol.4
MUSIC LIFE2CD豪華盤「BALLADE BEST☆MEMORIES」
",TAKURO,TAKURO,2007-10-31
laotour～震える拳が掴むもの～,"","THE GREAT VACATION VOL.1 ～SUPER BEST OF GLAY～
",TAKURO,TAKURO,2009-06-10
LONE WOLF,100万回のKISS,"rare collectives vol.3
",TAKURO,TAKURO,2007-01-31
外灘SAPPHIRE,"BLEEZE～G4・III～
","",TAKURO,TAKURO GLAY & Seiji Kameda,2014-07-09
WORLD'S END,"","LOVE IS BEAUTIFUL
",HISASHI,HISASHI,2007-01-31
WORLD’S END （GLAY ARENA TOUR 2007 “LOVE IS BEAUTIFUL”）,"[DEATHTOPIA]
","",HISASHI ,HISASHI  GLAY・佐久間正英,2016-08-03
ONE LOVE～ALL STANDARD IS YOU reprise～,"","ONE LOVE
",-,TAKURO,2001-11-28
